,set_id,video_1,video_2,id_matches,shortest_tracklet,average_tracklet,longest_tracklet
0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575,62,8.0,936.0322580645161,5811.0
0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310,129,5.0,672.4921875,5793.0
0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573,66,20.0,905.1969696969697,5798.0
0,Set 3,20230313_SE_Lek1_P1D2_DJI_0020,20230313_SE_Lek1_P2D4_DJI_0940,109,10.0,724.8623853211009,5220.0
0,Set 3,20230313_SE_Lek1_P2D4_DJI_0940,20230313_SE_Lek1_P3D6_DJI_0923,65,7.0,616.9692307692308,4542.0
0,Set 4,20230315_SM_Lek1_P1D2_DJI_0079,20230315_SM_Lek1_P2D4_DJI_0001,53,20.0,1022.9056603773585,4726.0
0,Set 4,20230315_SM_Lek1_P2D4_DJI_0001,20230315_SM_Lek1_P3D6_DJI_0987,46,20.0,609.1521739130435,5292.0
0,Set 5,20230315_SM_Lek1_P1D2_DJI_0080,20230315_SM_Lek1_P2D4_DJI_0002,53,7.0,1040.4905660377358,5136.0
0,Set 5,20230315_SM_Lek1_P2D4_DJI_0002,20230315_SM_Lek1_P3D6_DJI_0988,40,63.0,726.921052631579,5306.0
0,Set 6,20230315_SM_Lek1_P1D2_DJI_0081,20230315_SM_Lek1_P2D4_DJI_0003,74,2.0,858.3513513513514,5137.0
0,Set 6,20230315_SM_Lek1_P2D4_DJI_0003,20230315_SM_Lek1_P3D6_DJI_0989,33,20.0,1161.7272727272727,5300.0
