,tracklet_duration,set_id,video_1,video_2
0,905.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
1,4302.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
2,1192.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
3,167.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
4,1505.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
5,1757.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
6,225.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
7,497.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
8,949.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
9,1104.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
10,152.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
11,79.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
12,401.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
13,2483.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
14,507.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
15,236.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
16,663.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
17,1504.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
18,304.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
19,1119.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
20,4282.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
21,464.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
22,120.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
23,132.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
24,311.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
25,4289.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
26,265.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
27,8.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
28,1427.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
29,43.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
30,115.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
31,1253.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
32,157.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
33,863.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
34,1505.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
35,10.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
36,840.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
37,323.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
38,42.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
39,73.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
40,1022.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
41,1313.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
42,223.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
43,1360.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
44,222.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
45,698.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
46,39.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
47,5811.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
48,455.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
49,4341.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
50,487.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
51,33.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
52,91.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
53,391.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
54,565.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
55,128.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
56,755.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
57,308.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
58,1391.0,Set 1,20230313_SE_Lek1_P2D3_DJI_0312,20230313_SE_Lek1_P3D5_DJI_0575
